article_id,status,held_reason,priority,version,owner,business_goal,content_goal,search_intent,buying_stage,persona,silo,parent_cluster,child_cluster,content_type,template,hub_url,target_collection,target_products,primary_cta,secondary_cta,primary_keyword,secondary_keywords,semantic_keywords,entities,tags,faqs,internal_links,external_references,image_requirements,video_requirements,schema_type,word_count_target,reading_time,review_frequency,last_reviewed,author_slug,working_title,shopify_handle,shopify_article_id,published_at,next_review_due,gate_status,panel_score,kpi_baseline_date,notes
CG-P1-00,BACKLOG,,P0,0.1,navneet,,,,,,cake-guides,CG-P1,,P,,/collections/custom-cakes-meerut,custom-cakes-meerut|designer-theme-cakes,,,,,,,,,,,,,,,,,12,,,How to order a custom cake: brief to delivery,,,,,,,,Highest catalogue share: Theme Cake 400 of 602 active
CG-P1-01,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P1,,C,,/blogs/cake-guides/how-to-order-a-custom-cake,custom-cakes-meerut|designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,Reference photos that actually work,,,,,,,,
CG-P1-02,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P1,,C,,/blogs/cake-guides/how-to-order-a-custom-cake,custom-cakes-meerut|designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,Lead times by design complexity,,,,,,,,
CG-P1-03,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P1,,C,,/blogs/cake-guides/how-to-order-a-custom-cake,custom-cakes-meerut|designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,What fondant can do that cream cannot,,,,,,,,
CG-P1-04,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P1,,C,,/blogs/cake-guides/how-to-order-a-custom-cake,custom-cakes-meerut|designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,Recreating a Pinterest cake: what changes and why,,,,,,,,
CG-P1-05,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P1,,C,,/blogs/cake-guides/how-to-order-a-custom-cake,custom-cakes-meerut|designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,Photo cakes: what makes a good source image,,,,,,,,
CG-P1-06,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P1,,C,,/blogs/cake-guides/how-to-order-a-custom-cake,custom-cakes-meerut|designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,"Names, ages and messages: space and legibility",,,,,,,,
CG-P1-07,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P1,,C,,/blogs/cake-guides/how-to-order-a-custom-cake,custom-cakes-meerut|designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,Character and licensed themes: what we can reproduce,,,,,,,,
CG-P1-08,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P1,,C,,/blogs/cake-guides/how-to-order-a-custom-cake,custom-cakes-meerut|designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,"3D sculpted vs flat-topped: cost, time, structure",,,,,,,,
CG-P1-09,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P1,,C,,/blogs/cake-guides/how-to-order-a-custom-cake,custom-cakes-meerut|designer-theme-cakes,,,,,,,,,,,,,,,,,24,,,"Pinata, pull-me-up and surprise formats explained",,,,,,,,
CG-P2-00,BACKLOG,,P0,0.1,navneet,,,,,,cake-guides,CG-P2,,P,,/collections/cakes,cakes|birthday-cakes,,,,,,,,,,,,,,,,,12,,,What size cake do you need? Guests to kilograms,,,,,,,,White space - no competitor coverage
CG-P2-01,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P2,,C,,/blogs/cake-guides/what-size-cake-do-you-need,cakes|birthday-cakes,,,,,,,,,,,,,,,,,24,,,"500g, 1kg, 2kg: what each actually serves",,,,,,,,
CG-P2-02,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P2,,C,,/blogs/cake-guides/what-size-cake-do-you-need,cakes|birthday-cakes,,,,,,,,,,,,,,,,,24,,,When a tiered cake makes sense and when it does not,,,,,,,,
CG-P2-03,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P2,,C,,/blogs/cake-guides/what-size-cake-do-you-need,cakes|birthday-cakes,,,,,,,,,,,,,,,,,24,,,Sizing for 50+ guests,,,,,,,,
CG-P2-04,HELD,inventory,P1,0.1,navneet,,,,,,cake-guides,CG-P2,,C,,/blogs/cake-guides/what-size-cake-do-you-need,cakes|birthday-cakes,,,,,,,,,,,,,,,,,24,,,Bento cakes: who they are for,,,,,,,,Bento Cake = 0 active products
CG-P3-00,BACKLOG,,P0,0.1,navneet,,,,,,cake-guides,CG-P3,,P,,/collections/cakes,cakes,,,,,,,,,,,,,,,,,12,,,Choosing a cake flavour: a decision guide,,,,,,,,White space
CG-P3-01,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P3,,C,,/blogs/cake-guides/choosing-a-cake-flavour,cakes,,,,,,,,,,,,,,,,,24,,,"Our eight flavours, described honestly",,,,,,,,
CG-P3-02,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P3,,C,,/blogs/cake-guides/choosing-a-cake-flavour,cakes,,,,,,,,,,,,,,,,,24,,,Which flavours hold up in heat,,,,,,,,
CG-P3-03,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P3,,C,,/blogs/cake-guides/choosing-a-cake-flavour,cakes,,,,,,,,,,,,,,,,,24,,,Flavours for a mixed-age gathering,,,,,,,,
CG-P3-04,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P3,,C,,/blogs/cake-guides/choosing-a-cake-flavour,cakes,,,,,,,,,,,,,,,,,24,,,Chocolate truffle vs chocolate mousse,,,,,,,,
CG-P3-05,BACKLOG,,P1,0.1,navneet,,,,,,cake-guides,CG-P3,,C,,/blogs/cake-guides/choosing-a-cake-flavour,cakes,,,,,,,,,,,,,,,,,24,,,Fruit flavours: seasonality and shelf life,,,,,,,,
CG-P4-00,BACKLOG,,P0,0.1,navneet,,,,,,cake-guides,CG-P4,,P,,/collections/cakes,cakes|wedding-cakes,,,,,,,,,,,,,,,,,12,,,"What a custom cake costs, and what drives the price",,,,,,,,White space
